"Payment Attempt Failed, and Order have been canceled.","محاولة دفع غير ناجحة ، تم إلغاء الطلب."
"Payment %payment_id failed and order has been canceled.","محاولة دفع غير ناجحة %payment_id ، تم إلغاء الطلب."
"Order canceled","تم إلغاء الطلب"
"Order updated successfully","تم تحديث الطلب بنجاح"
"No payment was found for your order.","لا يوجد عمليات دفع مرتبطة بالطلب."
"Could not verify your payment for order %order_id: %error. Error ID: %error_id","لا يمكن التحقق من عملية الدفع للطلب %error ، رقم الخطأ: %error_id"
"Payment failed","عملية دفع غير ناجحة"
"Un-matching payment details %payment_id.","بيانات عملية الدفع غير متطابقة مع الطلب %payment_id."
"Order and payment currencies does not match, %currency.","عملة عملية الدفع والطلب غير متطابقتين, %currency."
"Order and payment amounts do not match %total.","مبلغ عملية الدفع والطلب غير متطابقين %total."
"Failed loading order data.","فشلت محاولة استرجاع معلومات العملية."
"Failed placing order, please try again.","فشلت محاولة تسجيل الطلب ، نرجو المحاولة لاحقًا."
"Error! Payment failed, please try again later.","فشلت عملية الدفع، الرجاء المحاولة مرة أخرى."
"Go Back","العودة"
"Checkout","الدفع واتمام الطلب"
